スポーツ,,,
お店,店,,
薬,お薬,,
楽器,,,
建物,,,
乗り物,,,
洋服,服,衣類,衣服
食器,,,
木,樹木,,
家具,,,
文房具,,,
魚,さかな,,
家電,電化製品,,
楽器,,,
玩具,おもちゃ,,
天気,,,
花,お花,,
アクセサリー,,,
宗教,,,
家事,,,
化粧品,,,
職業,,,
寝具,,,
掃除,掃除道具,掃除用具,
大工道具,工具,,
昆虫,虫,,
文房具,文具,,
寿司ネタ,寿司,,
感情,,,
図形,,,
昔話,童話,,
挨拶,あいさつ,,
刃物,切るもの,,
首都,,,
下着,肌着,,
ゲーム,ボードゲーム,,
中華料理,中華,,
省庁,,,
街道,,,
筆記用具,,,
洋服,上着,,
時計,,,
顔,,,
車,自動車,,
魚,さかな,,
家,,,
自転車,,,
身体,体,,
赤,赤色,レッド,
青,青色,ブルー,
黄色,黄,イエロー,
白,白色,ホワイト,
春,,,
冬,,,
夏,,,
秋,,,
哺乳類,動物,,
魚,さかな,,
鳥,鳥類,,
虫,昆虫,,
野菜,,,
果物,,,
お酒,酒,アルコール飲料,
デザート,スイーツ,,
風呂,浴室,風呂場,お風呂
台所,キッチン,,
玄関,,,
居間,リビング,,
お正月,正月,,
お盆,盆,,
結婚式,結婚,,
クリスマス,,,
カレー,,,
焼きそば,,,
おでん,,,
すき焼き,,,
海外旅行,旅行,,
通院,診察,,
キャンプ,,,
遠足,ピクニック,,
習字,書道,書初め,書き初め
ガーデニング,栽培,家庭菜園,
日曜大工,DIY,建築,
お墓参り,墓参り,,
野菜,,,
果物,,,
和菓子,,,
お菓子,菓子,駄菓子,
肉食動物,肉食,,
水の中にいる生き物,泳ぐ,,
空を飛ぶ生き物,飛ぶ,,
草食動物,草食,,
緑,緑色,グリーン,
黒,黒色,ブラック,
茶色,ブラウン,,
ピンク,桃色,,
東京都,東京,,
北海道,,,
長野県,長野,,
長崎県,長崎,,
野球,ベースボール,,
水泳,スイミング,,
バレーボール,バレー,,
サッカー,,,
公園,,,
学校,,,
病院,,,
空港,国際空港,,
柑橘類,柑橘,,
根菜類,根菜,,
緑黄色野菜,野菜,,
麺類,麺,,
入浴,,,
歯磨き,,,
洗濯,,,
掃除,,,
野菜,,,
果物,,,
調味料,,,
洋菓子,お菓子,,
沖縄県,沖縄,,
静岡県,静岡,,
青森県,青森,,
愛知県,愛知,,
イギリス,英国,,
アメリカ,米国,,
エジプト,,,
オーストラリア,,,
交番,警察署,,
市役所,役所,,
消防署,,,
商店街,,,
全て,すべて,,
